"make","model","colour","capacity","network","grade","condition","count"
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",54
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",55
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",56
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",57
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",58
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",59
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",60
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",61
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",62
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",63
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",64
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",65
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",66
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",67
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",68
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",69
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",70
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",71
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",72
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",73
"ACCESSORIZE","UNIVERSAL 10 INCH TABLET FOLIO CASE - ROSE NAVY","Multicolour","Not Applicable","Not Applicable","Brand New","Brand New",74
