"make","model","condition","grade","capacity","colour","network","count"
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",140
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",141
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",142
LG,"32LH510B 32\" LED TV","Working","Grade A - Very Good Condition","Not Applicable","Black","Not Applicable",143
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",144
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",145
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",146
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",147
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",148
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",149
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",150
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",151
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",152
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",153
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",154
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",155
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",156
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",157
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",158
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",159
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",160
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",161
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",162
LG,"32LH510B 32\" LED TV","Brand New","Brand New","Not Applicable","Black","Not Applicable",163
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",164
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",165
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",166
LG,"32LH510B 32\" LED TV","Working","Insurance Grade","Not Applicable","Black","Not Applicable",167
