"make","model","condition","grade","capacity","colour","network","count"
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",15
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",16
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",17
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",18
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",19
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",20
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",21
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",22
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",23
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",24
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",25
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",26
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",27
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",28
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",29
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",30
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",31
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",32
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",33
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",34
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",35
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",36
"ZAGG","INVISIBLE SHIELD GLASS LUXE SCREEN PROTECTOR FOR IPHONE 6/6S","Brand New","Insurance Grade","Not Applicable","Gold","Not Applicable",37
